"tick","Id","View","Subs","Unsubs","EventIds","RetrieveBufElems","Crashed","Subscribed"
4.0,8,"[1, 2, 3, 6, 7, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[]","[0:1:1, 6:1:0, 9:1:2, 6:2:0, 6:2:2, 2:2:1, 6:3:1, 7:3:2, 0:3:0, 5:4:1]","[]","false","true"
4.0,1,"[3, 4, 5, 6, 7, 8]","[0, 2, 3, 4, 5, 6, 7, 8, 9]","[]","[2:2:1, 9:1:2, 6:2:0, 6:2:2, 7:3:2, 6:3:1, 0:3:0, 5:4:1, 1:4:0, 1:4:2]","[]","false","true"
4.0,4,"[0, 1, 2, 3, 5, 8]","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[]","[0:1:1, 2:2:1, 6:2:0, 6:2:2, 6:3:1, 0:3:0, 7:3:2, 5:4:1, 1:4:0, 1:4:2]","[]","false","true"
4.0,3,"[2, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6, 7, 8, 9]","[]","[6:2:0, 6:2:2, 2:2:1, 9:1:2, 6:3:1, 7:3:2, 0:3:0, 5:4:1, 1:4:0, 1:4:2]","[]","false","true"
4.0,5,"[0, 2, 3, 4, 6, 7]","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[]","[0:1:1, 2:2:1, 6:2:0, 6:2:2, 7:3:2, 6:3:1, 0:3:0, 1:4:0, 1:4:2, 5:4:1]","[6:1:0, 9:1:2, 9:1:2]","false","true"
4.0,6,"[0, 2, 4, 5, 7, 9]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[]","[2:2:1, 9:1:2, 6:2:0, 6:2:2, 7:3:2, 6:3:1, 0:3:0, 5:4:1, 1:4:0, 1:4:2]","[]","false","true"
4.0,7,"[1, 2, 4, 6, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 8, 9]","[]","[2:2:1, 9:1:2, 6:2:0, 6:2:2, 0:3:0, 7:3:2, 6:3:1, 5:4:1, 1:4:0, 1:4:2]","[]","false","true"
4.0,9,"[0, 1, 2, 4, 5, 8]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[]","[2:2:1, 9:1:2, 6:2:0, 6:2:2, 7:3:2, 6:3:1, 0:3:0, 5:4:1, 1:4:0, 1:4:2]","[6:1:0, 0:1:1]","false","true"
5.0,0,"[2, 3, 4, 6, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9]","[]","[2:2:1, 7:3:2, 6:3:1, 0:3:0, 5:4:1, 1:4:0, 1:4:2, 4:5:1, 8:5:2, 0:5:0]","[9:1:2, 9:1:2, 9:1:2, 6:2:0, 6:2:0, 6:2:2]","false","true"
5.0,2,"[1, 4, 5, 6, 7, 9]","[0, 1, 3, 4, 5, 6, 7, 8, 9]","[]","[2:2:1, 7:3:2, 6:3:1, 0:3:0, 5:4:1, 1:4:0, 1:4:2, 4:5:1, 8:5:2, 0:5:0]","[]","false","true"
5.0,8,"[0, 2, 4, 5, 7, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[]","[2:2:1, 6:3:1, 7:3:2, 0:3:0, 5:4:1, 1:4:0, 1:4:2, 0:5:0, 4:5:1, 8:5:2]","[6:2:2, 9:1:2, 6:2:0, 6:2:2, 6:2:0, 6:2:2]","false","true"
5.0,1,"[3, 4, 5, 7, 8, 9]","[0, 2, 3, 4, 5, 6, 7, 8, 9]","[]","[6:2:2, 7:3:2, 6:3:1, 0:3:0, 5:4:1, 1:4:0, 1:4:2, 4:5:1, 8:5:2, 0:5:0]","[0:1:1, 9:1:2, 6:2:0, 2:2:1]","false","true"
5.0,4,"[0, 3, 5, 6, 7, 8]","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[]","[6:2:2, 6:3:1, 0:3:0, 7:3:2, 5:4:1, 1:4:0, 1:4:2, 4:5:1, 8:5:2, 0:5:0]","[9:1:2, 2:2:1, 6:2:0]","false","true"
5.0,3,"[2, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6, 7, 8, 9]","[]","[6:2:0, 6:2:2, 2:2:1, 9:1:2, 6:3:1, 7:3:2, 0:3:0, 5:4:1, 1:4:0, 1:4:2]","[]","false","true"
