tick: 1.0, Event Propagation: 0.0
tick: 51.0, Event Propagation: 20.0
tick: 101.0, Event Propagation: 76.0
tick: 151.0, Event Propagation: 106.0
tick: 201.0, Event Propagation: 110.0
tick: 251.0, Event Propagation: 111.0
tick: 301.0, Event Propagation: 116.0
tick: 351.0, Event Propagation: 124.0
tick: 401.0, Event Propagation: 124.0
