tick: 1.0, Event Propagation: 0.0
tick: 51.0, Event Propagation: 35.0
tick: 101.0, Event Propagation: 94.0
tick: 151.0, Event Propagation: 114.0
tick: 201.0, Event Propagation: 117.0
tick: 251.0, Event Propagation: 118.0
tick: 301.0, Event Propagation: 122.0
tick: 351.0, Event Propagation: 124.0
tick: 401.0, Event Propagation: 125.0
tick: 451.0, Event Propagation: 125.0
tick: 501.0, Event Propagation: 125.0
