tick: 1.0, Event Propagation: 0.0
tick: 51.0, Event Propagation: 24.0
tick: 101.0, Event Propagation: 148.0
tick: 151.0, Event Propagation: 199.0
tick: 201.0, Event Propagation: 204.0
tick: 251.0, Event Propagation: 205.0
tick: 301.0, Event Propagation: 219.0
tick: 351.0, Event Propagation: 230.0
tick: 401.0, Event Propagation: 238.0
tick: 451.0, Event Propagation: 240.0
tick: 501.0, Event Propagation: 242.0
