"tick","message_propagation"
71.0,"{cbd1205c-269f-4218-87d2-58983115837f=98, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
72.0,"{cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
73.0,"{cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
74.0,"{cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
75.0,"{cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
76.0,"{cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
77.0,"{cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
78.0,"{cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
79.0,"{cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
80.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=1, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
