"tick","message_propagation"
1.0,"{}"
2.0,"{}"
3.0,"{}"
4.0,"{}"
5.0,"{}"
6.0,"{}"
7.0,"{}"
8.0,"{}"
9.0,"{}"
10.0,"{}"
11.0,"{}"
12.0,"{}"
13.0,"{}"
14.0,"{}"
15.0,"{}"
16.0,"{}"
17.0,"{}"
18.0,"{}"
19.0,"{}"
20.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=1}"
21.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=4}"
22.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=12}"
23.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=27}"
24.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=56}"
25.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=70}"
26.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=74}"
27.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=76}"
28.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=78}"
29.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=80}"
30.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=82}"
31.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=82}"
32.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=82}"
33.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=82}"
34.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=82}"
35.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=82}"
36.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=82}"
37.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=82}"
38.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=82}"
39.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=82}"
40.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=82, 30521d3f-da7c-4720-8227-9f9bbd79e9b7=1}"
41.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=82, 30521d3f-da7c-4720-8227-9f9bbd79e9b7=4}"
42.0,"{7bed7acb-9053-4120-a511-0fc43a4d229f=82, 30521d3f-da7c-4720-8227-9f9bbd79e9b7=12}"
