nodes,ok,err,fail
5,97.91638973813637,0.2525588196198325,1.7911737338827596
10,96.96808156193775,0.37649097088025585,2.625441460651696
20,89.16519831111407,7.536819708101998,3.2946574021742747
5,95.74496465252767,0.5202080832332933,3.581432573029212
10,89.08891255157727,5.710102489019034,5.061227206175962
20,81.33861412500832,13.063302935498902,5.431671437129734
5,90.78199210649541,2.4784266506120813,6.488728343032979
10,87.61245443296211,4.076786729540818,7.946222534363399
20,55.19443608519744,36.81412378372956,7.690507239107901
1000,96.96808156193775,0.37649097088025585,2.625441460651696
1000,97.83641862474659,0.12961547409352256,2.0107015852969523
1000,96.96808156193775,0.37649097088025585,2.625441460651696
1000,98.86042725671949,0.06312502076480947,1.0830924615435729
